,zip_code,agi_range,return_count,exemption_count,dependent_count,agi_amt,salary_wages_count,salary_wages_amt,taxable_interest_count,taxable_interest_amt,ordinary_dividends_count,ordinary_dividends_amt,business_income_count,business_income_amt,farm_income_count,net_capital_gain_count,net_capital_gain_amt,taxable_IRA_dist_count,taxable_IRA_dist_amt,pension_income_count,pension_income_amt,unemployment_count,unemployment_amt,social_security_count,social_security_amt,item_deduc_count,item_deduc_amt,charitable_contribution_count,charitable_contribution_amt,mortgage_int_count,mortgage_int_amt,property_tax_count,property_tax_amt,state_local_income_tax_count,state_local_income_tax_amt,state_local_sales_tax_count,state_local_sales_tax_amt,taxable_income_count,taxable_income_amt,tot_tax_credit_count,tot_tax_credit_amt,earned_income_credit_count,earned_income_credit_amt,excess_eaned_income_credit_count,excess_eaned_income_credit_amt,tax_liability_count,tax_liability_amt,balance_due_count,balance_due_amt,refund_count,refund_amt,paid_prep_count,year,agi_amt_avg,salary_avg,mortgage_amt_avg,prop_tax_avg,taxable_income_avg,earned_income_credit_avg,excess_eaned_income_credit_avg
1103,37336,"$50,000 under $75,000",282,702,203,17424,250,13631,103,255,30,26,41,478,0,26,50,28,385,74,1449,24,141,64,909,120,2060,93,362,104,776,109,136,25,116,105,183,282,10973,119,180,0,0,0,0,277,1405,60,141,218,616,166,2011,61.7872340425532,54.524,7.46153846153846,1.24770642201835,38.9113475177305,NA,NA
1104,37336,"$75,000 under $100,000",174,466,143,14971,158,11426,69,125,35,15,36,661,38,24,-0.247,27,753,56,1317,20,86,38,680,83,1537,70,314,76,694,81,131,0,0,76,160,174,10677,85,135,0,0,0,0,174,1527,32,126,140,506,110,2011,86.0402298850575,72.3164556962025,9.13157894736842,1.61728395061728,61.3620689655172,NA,NA
1105,37336,"$100,000 under $200,000",140,394,121,17653,137,14897,75,38,44,151,30,406,0,41,51,21,622,59,1595,0,0,26,494,96,2014,104,1100,103,1017,92,157,0,0,94,286,140,13677,76,148,0,0,0,0,140,2372,49,388,112,681,81,2011,126.092857142857,108.737226277372,9.87378640776699,1.70652173913043,97.6928571428571,NA,NA
1106,37336,"$200,000 or more",25,68,22,13414,22,5093,20,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,988,0,0,0,0,20,70,0,0,0,0,25,11597,0,0,0,0,0,0,25,2180,0,0,0,0,21,2011,536.56,231.5,NA,3.5,463.88,NA,NA
1107,37337,Total,567,1193,379,19688,475,16371,139,88,31,13,105,914,44,30,47,22,98,96,1366,68,393,61,437,56,873,37,124,41,225,49,36,0,0,50,79,386,11018,159,123,165,377,135,292,417,1640,60,93,496,1216,313,2011,34.7231040564374,34.4652631578947,5.48780487804878,0.73469387755102,28.5440414507772,2.28484848484848,2.16296296296296
1108,37337,"$1 under $25,000",280,497,170,3468,207,2398,34,34,0,0,67,562,24,0,0,22,98,33,307,32,216,0,0,23,337,0,0,0,0,20,11,0,0,21,22,105,645,32,8,130,308,111,245,150,140,32,17,250,529,143,2011,12.3857142857143,11.5845410628019,NA,0.55,6.14285714285714,2.36923076923077,2.20720720720721
1109,37337,"$25,000 under $50,000",152,344,108,5430,143,4799,42,15,31,13,38,352,0,30,47,0,0,28,300,36,177,36,152,0,0,0,0,0,0,0,0,0,0,0,0,146,2640,70,54,35,69,24,47,134,305,0,0,142,391,90,2011,35.7236842105263,33.5594405594406,NA,NA,18.0821917808219,1.97142857142857,1.95833333333333
1110,37337,"$50,000 under $75,000",108,281,77,7066,99,5932,63,39,0,0,0,0,20,0,0,0,0,35,759,0,0,25,285,33,536,37,124,41,225,29,25,0,0,29,57,108,4645,57,61,0,0,0,0,106,598,28,76,104,296,60,2011,65.4259259259259,59.9191919191919,5.48780487804878,0.862068965517241,43.0092592592593,NA,NA
1111,37337,"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1112,37337,"$100,000 under $200,000",27,71,24,3724,26,3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3088,0,0,0,0,0,0,27,597,0,0,0,0,20,2011,137.925925925926,124.692307692308,NA,NA,114.37037037037,NA,NA
1113,37337,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1114,37338,Total,1209,2670,960,41851,1025,33800,250,115,71,28,161,1557,44,50,12,48,492,208,3357,153,702,125,1008,176,2964,126,484,132,937,146,192,0,0,143,254,829,22652,343,357,378,912,348,811,802,3177,114,258,1063,3032,691,2011,34.616211745244,32.9756097560976,7.09848484848485,1.31506849315068,27.3244873341375,2.41269841269841,2.33045977011494
1115,37338,"$1 under $25,000",591,1117,422,7667,457,5682,76,54,0,0,89,691,0,0,0,0,0,76,654,78,412,22,27,23,373,0,0,0,0,0,0,0,0,0,0,226,1347,54,13,271,714,253,637,267,234,35,32,527,1301,323,2011,12.9729272419628,12.4332603938731,NA,NA,5.96017699115044,2.63468634686347,2.51778656126482
